employee_id,gross_salary,tax_deduction,pf_deduction,net_salary
1001,47204.55,4720.45,2360.23,40123.86
1002,34109.09,3410.91,1705.45,28992.73
1003,34545.45,3454.55,1727.27,29363.64
1004,57800.0,5780.0,2890.0,49130.0
1005,28672.73,2867.27,1433.64,24371.82
1006,31595.45,3159.55,1579.77,26856.14
1007,83500.0,8350.0,4175.0,70975.0
1008,54895.45,5489.55,2744.77,46661.14
1009,67518.18,6751.82,3375.91,57390.45
1010,58236.36,5823.64,2911.82,49500.91
1011,94200.0,9420.0,4710.0,80070.0
1012,72990.91,7299.09,3649.55,62042.27
1013,79022.73,7902.27,3951.14,67169.32
1014,31440.91,3144.09,1572.05,26724.77
1015,31595.45,3159.55,1579.77,26856.14
1016,54450.0,5445.0,2722.5,46282.5
1017,31609.09,3160.91,1580.45,26867.73
1018,37672.73,3767.27,1883.64,32021.82
1019,36272.73,3627.27,1813.64,30831.82
1020,81150.0,8115.0,4057.5,68977.5
